,Product Name,Product Code,Regular Price,Happy Price,Discount,Page Link,Image Link,Category
2411,MIDEA MFD60S090W-MK,Шифра: 76218,"19,999 Ден.","15,495 Ден.",-23%,https://setec.mk/бела-техника/машини-за-миење-на-садови/midea-mfd60s090w-mk76218,https://setec.mk/image/cache/catalog/Product/76218_0-228x228.jpg,Бела Техника
2412,TELEFUNKEN TDW C146W LCD,Шифра: 76423,"17,999 Ден.","15,599 Ден.",-13%,https://setec.mk/бела-техника/машини-за-миење-на-садови/telefunken-tdw-c146w-lcd76423,https://setec.mk/image/cache/catalog/Product/76423_0-228x228.jpg,Бела Техника
2413,TELEFUNKEN TDW C136W LCD,Шифра: 76479,"17,999 Ден.","16,409 Ден.",-9%,https://setec.mk/бела-техника/машини-за-миење-на-садови/telefunken-tdw-c136w-lcd76479,https://setec.mk/image/cache/catalog/Product/76479_0-228x228.jpg,Бела Техника
2414,MIDEA WQP12-5201-DB,Шифра: 77745,"20,999 Ден.","16,579 Ден.",-21%,https://setec.mk/бела-техника/машини-за-миење-на-садови/midea-wqp12-5201-db77745,https://setec.mk/image/cache/catalog/Product/77745_0-228x228.jpg,Бела Техника
2415,MIDEA WQP12-5201-DS,Шифра: 73359,"20,999 Ден.","16,579 Ден.",-21%,https://setec.mk/бела-техника/машини-за-миење-на-садови/midea-wqp12-5201-ds73359,https://setec.mk/image/cache/catalog/Product/73359_0-228x228.jpg,Бела Техника
2416,INDESIT DSFE 1B10,Шифра: 72383,"21,999 Ден.","16,995 Ден.",-23%,https://setec.mk/бела-техника/машини-за-миење-на-садови/indesit-dsfe-1b1072383,https://setec.mk/image/cache/catalog/Product/72383_0-228x228.jpg,Бела Техника
2417,TELEFUNKEN TDW C136B LCD,Шифра: 76481,"18,999 Ден.","17,009 Ден.",-10%,https://setec.mk/бела-техника/машини-за-миење-на-садови/telefunken-tdw-c136b-lcd76481,https://setec.mk/image/cache/catalog/Product/76481_0-228x228.jpg,Бела Техника
2418,TELEFUNKEN TDW C136S LCD,Шифра: 76480,"18,999 Ден.","17,009 Ден.",-10%,https://setec.mk/бела-техника/машини-за-миење-на-садови/telefunken-tdw-c136s-lcd76480,https://setec.mk/image/cache/catalog/Product/76480_0-228x228.jpg,Бела Техника
2419,TELEFUNKEN TDW C146B LCD,Шифра: 76425,"18,999 Ден.","17,009 Ден.",-10%,https://setec.mk/бела-техника/машини-за-миење-на-садови/telefunken-tdw-c146b-lcd76425,https://setec.mk/image/cache/catalog/Product/76425_0-228x228.jpg,Бела Техника
2420,TELEFUNKEN TDW C146S LCD,Шифра: 76424,"18,999 Ден.","17,009 Ден.",-10%,https://setec.mk/бела-техника/машини-за-миење-на-садови/telefunken-tdw-c146s-lcd76424,https://setec.mk/image/cache/catalog/Product/76424_0-228x228.jpg,Бела Техника
2421,CANDY CF3E7L0W,Шифра: 77106,"23,999 Ден.","17,995 Ден.",-25%,https://setec.mk/бела-техника/машини-за-миење-на-садови/candy-cf-3e7l0w77106,https://setec.mk/image/cache/catalog/Product/77106_0-228x228.jpg,Бела Техника
2422,HOTPOINT ARISTON HFC 2B19,Шифра: 71785,"25,999 Ден.","17,995 Ден.",-31%,https://setec.mk/бела-техника/машини-за-миење-на-садови/hotpoint-ariston-hfc-2b1971785,https://setec.mk/image/cache/catalog/Product/71785_0-228x228.jpg,Бела Техника
2423,INDESIT DFE 1B19 13,Шифра: 73814,"23,999 Ден.","17,995 Ден.",-25%,https://setec.mk/бела-техника/машини-за-миење-на-садови/indesit-dfe-1b19-1373814,https://setec.mk/image/cache/catalog/Product/73814_0-228x228.jpg,Бела Техника
2424,INDESIT DSFE 1B10 S,Шифра: 72382,"22,999 Ден.","17,995 Ден.",-22%,https://setec.mk/бела-техника/машини-за-миење-на-садови/indesit-dsfe-1b10-s72382,https://setec.mk/image/cache/catalog/Product/72382_0-228x228.jpg,Бела Техника
2425,WHIRLPOOL WFE 2B19,Шифра: 69986,"23,999 Ден.","17,995 Ден.",-25%,https://setec.mk/бела-техника/машини-за-миење-на-садови/whirlpool-wfe-2b1969986,https://setec.mk/image/cache/catalog/Product/69986_0-228x228.jpg,Бела Техника
