date,open,high,low,close,volume
1997-05-15,0.1219,0.125,0.0964,0.0979,1443120000
1997-05-16,0.0984,0.099,0.08539999999999999,0.08650000000000001,294000000
1997-05-19,0.08800000000000001,0.0885,0.0812,0.08539999999999999,122136000
1997-05-20,0.08650000000000001,0.0875,0.08180000000000001,0.08180000000000001,109344000
1997-05-21,0.08180000000000001,0.0823,0.0688,0.07139999999999999,377064000
1997-05-22,0.0719,0.0724,0.06559999999999999,0.0698,235536000
1997-05-23,0.0703,0.076,0.0667,0.075,318744000
1997-05-27,0.0755,0.0823,0.07289999999999999,0.07919999999999999,173952000
1997-05-28,0.0812,0.08180000000000001,0.0766,0.0766,91488000
1997-05-29,0.0771,0.0771,0.07400000000000001,0.07529999999999999,69456000
1997-05-30,0.075,0.0755,0.07400000000000001,0.075,51888000
1997-06-02,0.0755,0.0766,0.075,0.0755,11832000
1997-06-03,0.0766,0.0766,0.07400000000000001,0.07400000000000001,23664000
1997-06-04,0.07400000000000001,0.0745,0.0698,0.0708,61608000
1997-06-05,0.0708,0.0771,0.0688,0.0771,113448000
1997-06-06,0.0758,0.08539999999999999,0.0755,0.0828,156144000
1997-06-09,0.0828,0.08539999999999999,0.0828,0.0844,47040000
1997-06-10,0.08539999999999999,0.08539999999999999,0.0766,0.07919999999999999,109176000
1997-06-11,0.0797,0.08020000000000001,0.0766,0.0771,23760000
1997-06-12,0.07919999999999999,0.0823,0.07759999999999999,0.08020000000000001,32640000
1997-06-13,0.0812,0.0812,0.07919999999999999,0.07919999999999999,13872000
1997-06-16,0.08020000000000001,0.08020000000000001,0.0781,0.0786,18264000
1997-06-17,0.0799,0.0799,0.0747,0.07529999999999999,94128000
1997-06-18,0.076,0.0768,0.075,0.0755,49296000
1997-06-19,0.0755,0.0766,0.075,0.0755,20064000
1997-06-20,0.0766,0.07759999999999999,0.075,0.0763,67752000
1997-06-23,0.0771,0.0771,0.07400000000000001,0.075,20952000
1997-06-24,0.07529999999999999,0.0763,0.07400000000000001,0.0755,15024000
1997-06-25,0.0763,0.0763,0.0745,0.0755,42120000
1997-06-26,0.076,0.076,0.07529999999999999,0.0755,63792000
1997-06-27,0.0758,0.0758,0.07400000000000001,0.0745,23760000
1997-06-30,0.0755,0.0799,0.07400000000000001,0.0771,54936000
1997-07-01,0.0771,0.0771,0.0755,0.0758,25848000
1997-07-02,0.0758,0.0797,0.0755,0.0794,77640000
1997-07-03,0.0799,0.0958,0.0797,0.0956,251544000
1997-07-07,0.0917,0.101,0.0917,0.1,161064000
1997-07-08,0.1021,0.1167,0.1021,0.1151,310344000
1997-07-09,0.1151,0.1193,0.1135,0.1161,165240000
1997-07-10,0.1167,0.1286,0.1167,0.1281,181032000
1997-07-11,0.126,0.126,0.1104,0.1146,210624000
1997-07-14,0.1161,0.1167,0.1057,0.1068,92088000
1997-07-15,0.1068,0.124,0.1068,0.1219,185496000
1997-07-16,0.1224,0.1247,0.1151,0.1167,60480000
1997-07-17,0.1172,0.1172,0.1078,0.1109,63384000
1997-07-18,0.1094,0.1109,0.1078,0.1078,15600000
1997-07-21,0.1089,0.1099,0.1073,0.1091,11496000
1997-07-22,0.1083,0.1094,0.1031,0.1068,31272000
1997-07-23,0.1094,0.1167,0.1089,0.1146,65184000
1997-07-24,0.1151,0.1156,0.1109,0.113,24336000
1997-07-25,0.1109,0.1125,0.1109,0.1115,12408000
1997-07-28,0.1115,0.1198,0.1109,0.1161,51480000
1997-07-29,0.1182,0.125,0.1167,0.124,96288000
1997-07-30,0.125,0.1253,0.1214,0.1224,50352000
1997-07-31,0.1219,0.1219,0.1167,0.1198,29088000
1997-08-01,0.1172,0.1208,0.1125,0.1208,71760000
1997-08-04,0.1187,0.1206,0.1151,0.1156,53424000
1997-08-05,0.1167,0.1167,0.1073,0.1104,60648000
1997-08-06,0.1104,0.1156,0.1094,0.1125,24864000
1997-08-07,0.1125,0.113,0.1063,0.1089,40680000
1997-08-08,0.1083,0.1151,0.1052,0.1146,44232000
1997-08-11,0.1146,0.1167,0.1125,0.1164,24792000
1997-08-12,0.1141,0.1151,0.1099,0.1099,11424000
1997-08-13,0.1115,0.1115,0.1083,0.1099,11808000
1997-08-14,0.1089,0.1125,0.106,0.1078,20832000
1997-08-15,0.1068,0.1078,0.0969,0.1057,31944000
1997-08-18,0.1026,0.1026,0.0984,0.1021,35688000
1997-08-19,0.1047,0.1104,0.1026,0.1083,20064000
1997-08-20,0.1094,0.1094,0.1036,0.1083,19992000
1997-08-21,0.1068,0.1086,0.1036,0.1057,12480000
1997-08-22,0.1052,0.1063,0.1047,0.1063,14256000
1997-08-25,0.1052,0.113,0.1052,0.1109,22536000
1997-08-26,0.112,0.1177,0.1115,0.1172,51480000
1997-08-27,0.1154,0.1161,0.1125,0.1159,27840000
1997-08-28,0.1151,0.1198,0.1141,0.1187,22944000
1997-08-29,0.1182,0.1187,0.1161,0.1169,14448000
1997-09-02,0.1172,0.1187,0.1167,0.1177,14640000
1997-09-03,0.1172,0.1208,0.1156,0.1167,39288000
1997-09-04,0.1182,0.1276,0.1172,0.1276,66960000
1997-09-05,0.12919999999999998,0.1333,0.1229,0.125,38160000
1997-09-08,0.1266,0.151,0.125,0.15,112968000
1997-09-09,0.157,0.16929999999999998,0.1513,0.162,179424000
1997-09-10,0.1656,0.1664,0.1563,0.1651,77328000
1997-09-11,0.1667,0.1667,0.1521,0.1578,85248000
1997-09-12,0.1594,0.1849,0.1578,0.1844,66672000
1997-09-15,0.1833,0.1839,0.1526,0.1547,111672000
1997-09-16,0.1563,0.17709999999999998,0.156,0.1677,128640000
1997-09-17,0.1729,0.175,0.1667,0.1703,52152000
1997-09-18,0.1719,0.1734,0.1641,0.1646,42576000
1997-09-19,0.16899999999999998,0.2042,0.1688,0.1974,178584000
1997-09-22,0.2,0.2339,0.1974,0.225,338760000
1997-09-23,0.2245,0.2323,0.2198,0.2313,153648000
1997-09-24,0.2323,0.2406,0.2146,0.2188,164016000
1997-09-25,0.2172,0.2177,0.2026,0.2039,99360000
1997-09-26,0.2036,0.213,0.2026,0.2083,54624000
1997-09-29,0.2073,0.2094,0.1979,0.2021,47424000
1997-09-30,0.2,0.2174,0.1901,0.2169,105096000
1997-10-01,0.2219,0.225,0.1969,0.201,99984000
1997-10-02,0.2021,0.2089,0.1995,0.2005,37536000
1997-10-03,0.2042,0.2062,0.199,0.2008,23280000
1997-10-06,0.2,0.2062,0.1971,0.2062,40560000
1997-10-07,0.2042,0.2094,0.2021,0.2029,34848000
1997-10-08,0.2073,0.2083,0.1992,0.2003,56136000
1997-10-09,0.2,0.201,0.187,0.1875,79008000
1997-10-10,0.1865,0.2031,0.1833,0.1951,75744000
1997-10-13,0.1964,0.2021,0.1964,0.2,16296000
1997-10-14,0.2031,0.2052,0.1917,0.199,30936000
1997-10-15,0.1984,0.1984,0.1885,0.1961,47112000
1997-10-16,0.199,0.199,0.1802,0.1813,69624000
1997-10-17,0.1807,0.1828,0.17600000000000002,0.1813,50688000
1997-10-20,0.1839,0.1937,0.1833,0.1911,98256000
1997-10-21,0.1979,0.2219,0.1927,0.2214,241920000
1997-10-22,0.2208,0.231,0.2188,0.226,104160000
1997-10-23,0.2115,0.2281,0.2094,0.225,113136000
1997-10-24,0.2375,0.2531,0.2271,0.2513,189840000
1997-10-27,0.2401,0.2505,0.2115,0.2135,121824000
