,Product Name,Product Code,Regular Price,Happy Price,Discount,Page Link,Image Link
0,TCL 55P635,Шифра: 76123,"37,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
1,TCL 55P635,Шифра: 76123,"37,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
2,TCL 55P635,Шифра: 76123,"37,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
3,TCL 55P635,Шифра: 76123,"37,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
4,TCL 55P635,Шифра: 76123,"37,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
5,TCL 55P635,Шифра: 76123,"37,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
6,TCL 55P635,Шифра: 76123,"37,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
7,TCL 55P635,Шифра: 76123,"37,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
8,TCL 55P635,Шифра: 76123,"37,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
9,TCL 55P635,Шифра: 76123,"37,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
10,TCL 55P635,Шифра: 76123,"37,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
11,TCL 55P635,Шифра: 76123,"37,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
12,TCL 55P635,Шифра: 76123,"37,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
13,TCL 55P635,Шифра: 76123,"37,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
14,TCL 55P635,Шифра: 76123,"37,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
15,TCL 55P635,Шифра: 76123,"37,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
16,TCL 55P635,Шифра: 76123,"37,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
17,TCL 55P635,Шифра: 76123,"37,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
18,TCL 55P635,Шифра: 76123,"37,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
19,TCL 55P635,Шифра: 76123,"37,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
20,TCL 55P635,Шифра: 76123,"37,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
21,TCL 55P635,Шифра: 76123,"37,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
22,TCL 55P635,Шифра: 76123,"37,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
23,TCL 55P635,Шифра: 76123,"37,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
24,TCL 55P635,Шифра: 76123,"37,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
25,TCL 55P635,Шифра: 76123,"37,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
26,TCL 55P635,Шифра: 76123,"37,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
27,TCL 55P635,Шифра: 76123,"37,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
28,TCL 55P635,Шифра: 76123,"37,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
